series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_classification,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1948,A,0,194852,01/01/1948,M,Imports,,1,Total,0,World,2000,,6.48247129,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1948,A,0,194852,01/01/1948,X,Exports,,1,Total,0,World,2000,,15.3726769,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1949,A,0,194952,01/01/1949,M,Imports,,1,Total,0,World,2000,,6.69365641,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1949,A,0,194952,01/01/1949,X,Exports,,1,Total,0,World,2000,,15.92168881,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1950,A,0,195052,01/01/1950,M,Imports,,1,Total,0,World,2000,,7.69448784,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1950,A,0,195052,01/01/1950,X,Exports,,1,Total,0,World,2000,,24.38581866,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1951,A,0,195152,01/01/1951,M,Imports,,1,Total,0,World,2000,,9.445952,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1951,A,0,195152,01/01/1951,X,Exports,,1,Total,0,World,2000,,27.8629922,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1952,A,0,195252,01/01/1952,M,Imports,,1,Total,0,World,2000,,9.42301894,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1952,A,0,195252,01/01/1952,X,Exports,,1,Total,0,World,2000,,21.04594714,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1953,A,0,195352,01/01/1953,M,Imports,,1,Total,0,World,2000,,8.99374138,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1953,A,0,195352,01/01/1953,X,Exports,,1,Total,0,World,2000,,22.46424427,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1954,A,0,195452,01/01/1954,M,Imports,,1,Total,0,World,2000,,9.00292374,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1954,A,0,195452,01/01/1954,X,Exports,,1,Total,0,World,2000,,20.67997189,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1955,A,0,195552,01/01/1955,M,Imports,,1,Total,0,World,2000,,9.42987145,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1955,A,0,195552,01/01/1955,X,Exports,,1,Total,0,World,2000,,18.75839749,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1956,A,0,195652,01/01/1956,M,Imports,,1,Total,0,World,2000,,9.61662509,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1956,A,0,195652,01/01/1956,X,Exports,,1,Total,0,World,2000,,18.94130339,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1957,A,0,195752,01/01/1957,M,Imports,,1,Total,0,World,2000,,9.80337874,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1957,A,0,195752,01/01/1957,X,Exports,,1,Total,0,World,2000,,20.74469998,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1958,A,0,195852,01/01/1958,M,Imports,,1,Total,0,World,2000,,9.94335261,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1958,A,0,195852,01/01/1958,X,Exports,,1,Total,0,World,2000,,16.35626604,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1959,A,0,195952,01/01/1959,M,Imports,,1,Total,0,World,2000,,9.8966642,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1959,A,0,195952,01/01/1959,X,Exports,,1,Total,0,World,2000,,17.29809248,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1960,A,0,196052,01/01/1960,M,Imports,,1,Total,0,World,2000,,10.06011932,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1960,A,0,196052,01/01/1960,X,Exports,,1,Total,0,World,2000,,17.13038788,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1961,A,0,196152,01/01/1961,M,Imports,,1,Total,0,World,2000,,10.17679467,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1961,A,0,196152,01/01/1961,X,Exports,,1,Total,0,World,2000,,17.17501103,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1962,A,0,196252,01/01/1962,M,Imports,,1,Total,0,World,2000,,10.0670632,,P,Price,A,Actual
